Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8024164889836531,0.6445783132530121,0.5721925133689839,0.6062322946175638
Decision Tree,0.7896233120113717,0.6020942408376964,0.6149732620320856,0.6084656084656085
Random Forest,0.7924662402274343,0.6375838926174496,0.5080213903743316,0.5654761904761905
Tuned Random Forest,0.7867803837953091,0.6233333333333333,0.5,0.5548961424332344
